,Lat,Lon,Category,Date,Time
0,40.7641278,-73.8822038,G.L.A.,2022-07-12,1PM
1,40.7641697,-73.9847298,Robbery,2022-09-27,4PM
2,40.7640790,-73.8333386,Gr. Larceny,2022-08-23,7AM
3,40.7638002,-73.9147899,Robbery,2022-08-29,1AM
4,40.7637150,-73.9620822,Burglary,2022-05-05,4AM
5,40.7638100,-73.8082217,Gr. Larceny,2022-09-28,4AM
6,40.7639001,-73.9149997,Robbery,2022-08-28,7AM
7,40.7642856,-73.9556214,Gr. Larceny,2022-01-03,3AM
8,40.7642300,-73.9809801,Robbery,2022-09-23,6PM
9,40.7641999,-73.7802697,Burglary,2022-08-02,8PM
10,40.7643601,-73.9616098,Robbery,2022-09-30,3PM
11,40.7644908,-73.9303712,Murder,2022-09-24,8AM
12,40.7645801,-73.7242699,Fel. Assault,2022-08-13,10PM
13,40.7652902,-73.8648599,Gr. Larceny,2022-07-02,3PM
14,40.7653103,-73.9638501,Gr. Larceny,2022-04-22,1AM
15,40.7652798,-73.8682111,Rape,2022-04-06,12AM
16,40.7652688,-73.8151546,Burglary,2022-02-28,10PM
17,40.7652399,-73.9578702,G.L.A.,2022-07-12,2AM
18,40.7652097,-73.9394199,Gr. Larceny,2022-09-16,11AM
19,40.7651400,-73.8333701,Gr. Larceny,2022-06-19,6AM
20,40.7647598,-73.9471500,G.L.A.,2022-07-17,2AM
21,40.7646800,-73.9643001,Gr. Larceny,2022-09-13,5PM
22,40.7647303,-73.9121003,Fel. Assault,2022-04-15,4PM
23,40.7647102,-73.9242701,Gr. Larceny,2022-03-20,3AM
24,40.7627703,-73.7970503,G.L.A.,2022-07-22,10AM
25,40.7626697,-73.7705098,Robbery,2022-06-09,9PM
26,40.7625613,-73.8185793,G.L.A.,2022-07-13,9AM
27,40.7628601,-73.9081098,Gr. Larceny,2022-02-10,3AM
28,40.7628199,-73.9202797,Burglary,2022-02-11,7PM
29,40.7628073,-73.7961164,G.L.A.,2022-07-22,6AM
30,40.7628142,-73.9931661,Gr. Larceny,2022-08-31,11PM
31,40.7623203,-73.9151600,Robbery,2022-07-17,11AM
32,40.7623693,-73.8147838,Robbery,2022-07-29,1AM
33,40.7622901,-73.9861098,Robbery,2022-09-19,2AM
34,40.7624101,-73.8713668,Burglary,2022-09-02,8AM
35,40.7624900,-73.7909697,Gr. Larceny,2022-01-29,12PM
36,40.7624698,-73.9282901,Fel. Assault,2022-02-08,8AM
37,40.7624799,-73.8042399,Burglary,2022-04-16,1PM
38,40.7625597,-73.7900698,Robbery,2022-01-19,4PM
39,40.7636098,-73.9041998,Gr. Larceny,2022-02-22,12PM
40,40.7636347,-73.9734919,Gr. Larceny,2022-09-14,8PM
41,40.7635897,-73.9714099,Gr. Larceny,2022-10-01,6PM
42,40.7634797,-73.9672700,Robbery,2022-09-10,11PM
43,40.7634100,-73.7728802,Gr. Larceny,2022-05-18,8PM
44,40.7635400,-73.8302198,Robbery,2022-09-09,11AM
45,40.7631498,-73.8857999,Gr. Larceny,2022-06-30,9AM
46,40.7631357,-73.9133922,Robbery,2022-03-25,4AM
47,40.7630103,-73.7941897,Gr. Larceny,2022-08-23,10AM
48,40.7630197,-73.9781403,Gr. Larceny,2022-08-26,12PM
49,40.7630499,-73.9996201,Gr. Larceny,2022-08-19,5PM
50,40.7629600,-73.9718699,Robbery,2022-09-22,8PM
51,40.7629600,-73.9819001,Gr. Larceny,2022-08-31,10AM
52,40.7629097,-73.8055301,Burglary,2022-03-28,2AM
